Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCU05,OUT013,1327.158558
FDT39,OUT018,2190.822314
FDK60,OUT017,1709.364348
FDZ25,OUT017,2844.142433
FDG12,OUT046,2016.330112
DRB01,OUT019,1114.860021
NCC43,OUT027,5375.414351
FDX13,OUT019,2030.952817
FDM22,OUT049,1028.363825
FDJ03,OUT027,2311.044767
FDU14,OUT018,3673.817085
FDB33,OUT010,628.6897876
FDP27,OUT046,3017.886329
FDO38,OUT010,-670.952191
FDE28,OUT027,5149.138632
FDO27,OUT035,1711.028699
DRL23,OUT027,3169.840403
FDS28,OUT046,971.3658192
FDX24,OUT013,1543.48335
FDZ02,OUT035,1753.883687
FDL46,OUT045,1808.937971
FDS60,OUT027,4298.748788
NCO06,OUT017,637.0578
FDO16,OUT035,1534.959946
FDC60,OUT049,1552.454636
FDA48,OUT018,3199.637273
FDZ36,OUT027,4451.021679
FDK27,OUT045,1881.3233
FDW23,OUT018,387.9963324
FDM14,OUT018,1506.208914
FDM14,OUT013,1785.035186
FDW60,OUT018,2605.239807
FDE21,OUT013,1911.646447
NCM42,OUT035,1889.554774
FDY59,OUT010,-383.6795451
DRI49,OUT049,1381.854987
FDT28,OUT019,511.9688959
FDQ22,OUT018,403.8275567
FDR60,OUT049,1334.273196
FDC50,OUT019,-393.7781373
FDV24,OUT013,2450.028837
DRF48,OUT010,1073.7336
FDQ47,OUT046,612.8597025
DRN36,OUT049,1657.891569
NCY06,OUT035,2176.515732
FDE52,OUT035,1647.356975
NCB54,OUT045,1943.480592
NCF31,OUT035,2554.680741
FDJ08,OUT027,4454.818361
NCC07,OUT017,1789.761913
NCD19,OUT027,2329.52173
FDL46,OUT049,2006.50398
FDM20,OUT045,3828.964089
NCI06,OUT010,926.6698199
DRM11,OUT035,4225.406488
NCH07,OUT018,2214.407753
FDS23,OUT013,2096.213009
FDO49,OUT018,596.3900973
FDS35,OUT049,1165.973432
DRK39,OUT045,1265.469208
DRI39,OUT049,1040.786011
FDV04,OUT017,2649.479934
NCN14,OUT035,3006.999199
FDH08,OUT013,3698.6983
FDS20,OUT046,2911.804933
FDV40,OUT049,1337.765829
FDZ48,OUT010,-145.6004902
FDS24,OUT027,2914.793875
FDK44,OUT049,2856.594903
FDS48,OUT045,2342.111479
FDK26,OUT010,1105.608181
FDD23,OUT045,2931.546232
NCH54,OUT017,2645.429444
NCP14,OUT010,-242.3658843
FDM60,OUT010,-1197.504367
FDV24,OUT017,2513.879627
FDH08,OUT018,3355.225141
FDS12,OUT027,3474.878869
FDR39,OUT027,4317.663394
FDP12,OUT027,2123.748787
DRF60,OUT027,5175.043415
FDC09,OUT035,1850.138602
FDF50,OUT018,2866.803347
FDG28,OUT035,4004.660961
NCE19,OUT017,995.1275445
NCM53,OUT010,-202.8743347
NCN18,OUT049,1853.830511
FDF32,OUT035,3299.644315
FDF11,OUT013,3827.721351
DRI59,OUT049,3651.002195
NCG54,OUT035,2811.159447
FDM44,OUT046,1644.296869
FDT57,OUT018,3465.897386
FDV24,OUT046,2408.880452
FDI50,OUT019,1755.175826
FDS09,OUT035,1000.69793
NCC31,OUT027,3896.154821
FDQ07,OUT019,1598.925691
FDC22,OUT017,3138.499828
FDZ56,OUT046,2700.18114
FDZ40,OUT019,-994.929942
FDS46,OUT027,3356.429713
DRD24,OUT045,2168.916115
FDV45,OUT017,3107.735606
FDL26,OUT045,2410.908193
FDA56,OUT018,1710.709637
FDN27,OUT046,1898.799832
FDM20,OUT049,3975.854318
FDO16,OUT017,1466.141615
FDL03,OUT035,3292.633569
FDE58,OUT046,1879.533709
FDI02,OUT027,3288.286746
NCC55,OUT019,-1265.499121
FDR03,OUT018,3035.858399
FDB14,OUT017,1593.084643
FDR45,OUT013,3847.98323
NCN07,OUT017,2160.719875
FDM51,OUT019,-196.5071929
FDT52,OUT027,5365.692423
FDL26,OUT046,2455.679665
NCZ42,OUT046,3760.375287
DRI47,OUT019,421.353655
FDW40,OUT013,2320.352454
FDN34,OUT046,2739.061123
FDS01,OUT035,2989.171439
NCG55,OUT045,1774.55162
FDC11,OUT035,1545.346636
FDX35,OUT018,3348.561517
NCB06,OUT046,2520.53778
FDR09,OUT019,2196.207073
FDC53,OUT017,1685.066439
FDY45,OUT013,4067.83674
FDA22,OUT010,759.3000222
FDE02,OUT035,1677.877713
FDW21,OUT045,1618.133461
FDV34,OUT046,1217.521049
FDS59,OUT049,1900.117443
NCW17,OUT017,2130.777856
NCK54,OUT046,1862.454058
FDG17,OUT019,2008.784507
FDG35,OUT017,2863.538674
FDD08,OUT010,-1256.994172
NCO07,OUT017,3433.775234
FDJ10,OUT010,338.428318
FDW36,OUT017,1784.910905
FDW21,OUT010,-220.700849
FDY19,OUT017,2000.512853
DRE03,OUT013,810.8454083
NCC55,OUT049,724.5926529
FDH52,OUT010,-818.7474334
FDO09,OUT017,4310.340597
FDU43,OUT045,3756.089874
FDX09,OUT010,866.1647646
FDH40,OUT019,-512.540311
FDW58,OUT017,1795.304591
FDC47,OUT017,3687.037872
NCR41,OUT035,1650.972893
DRG49,OUT035,3997.608824
FDC52,OUT027,3891.319157
FDY13,OUT046,1227.303996
FDY35,OUT013,824.6322399
FDI35,OUT017,2995.092502
NCU18,OUT049,2330.005699
FDY33,OUT018,2283.678849
FDC15,OUT027,3939.144153
FDU01,OUT049,3107.705126
NCU42,OUT046,2681.066309
NCV29,OUT018,2527.822442
NCY30,OUT017,2983.732973
FDQ46,OUT049,1897.637382
FDG58,OUT027,3940.522484
FDK33,OUT017,3488.707662
NCD07,OUT045,1766.716346
NCX29,OUT027,3724.095667
NCT42,OUT013,2382.322004
DRN59,OUT035,900.7873883
FDI44,OUT035,1424.983342
FDA45,OUT049,2907.42973
FDP31,OUT045,1031.879532
FDY01,OUT046,1873.250804
FDT09,OUT018,1900.339961
DRH03,OUT027,2976.587293
FDA36,OUT018,2704.081278
NCF31,OUT017,2526.960551
FDG14,OUT049,2557.83498
FDG28,OUT027,5374.663315
FDU14,OUT049,4052.378259
FDY47,OUT019,242.6524786
FDI56,OUT049,1562.305114
DRD01,OUT013,995.5712008
FDM22,OUT046,918.4794265
FDH33,OUT013,737.0917782
DRZ24,OUT013,1916.86068
NCQ38,OUT046,1676.707338
FDO16,OUT027,2827.629221
FDU07,OUT027,3833.311674
NCB07,OUT013,3082.437004
FDU48,OUT045,2045.731954
NCM43,OUT045,2540.912558
FDR31,OUT010,438.0605172
DRK49,OUT018,411.3295776
NCI30,OUT010,1917.699004
DRD60,OUT017,2968.951665
NCG19,OUT046,3673.009531
FDH12,OUT035,1836.186101
FDM32,OUT035,1634.889495
FDM27,OUT035,2656.051023
NCU53,OUT027,4067.321949
NCQ18,OUT046,1558.834658
FDS10,OUT013,2879.913199
FDB33,OUT027,3969.589075
FDI12,OUT013,1463.781334
NCW42,OUT013,3505.775041
NCC06,OUT018,1759.985213
FDW02,OUT017,2173.235959
NCD43,OUT017,1769.619238
FDM57,OUT018,1114.513628
FDA58,OUT017,3843.027517
FDK56,OUT046,2929.919672
FDP52,OUT045,3626.441801
FDW20,OUT018,1715.40887
FDS52,OUT049,1733.4078
NCT29,OUT018,1619.608063
NCL54,OUT013,2806.717853
FDC05,OUT045,3111.095379
FDF34,OUT035,3319.653265
FDP03,OUT027,3447.980955
FDD32,OUT010,-517.5775236
FDZ10,OUT045,1978.685414
FDZ40,OUT035,1054.298383
FDD51,OUT018,454.4685637
NCY30,OUT019,936.5266305
FDP58,OUT017,3541.094089
FDV49,OUT017,4284.817946
FDY24,OUT019,-1008.912298
NCO55,OUT017,1797.515846
FDR13,OUT017,2028.590004
FDS51,OUT017,1135.189922
FDP26,OUT045,1609.368155
NCB54,OUT027,3495.670426
FDF32,OUT017,3227.65369
FDN31,OUT018,2725.140811
DRM48,OUT017,697.3529762
FDN20,OUT049,2791.776908
DRL01,OUT046,3670.509024
FDV56,OUT049,1875.82015
DRH13,OUT027,3178.023369
FDA03,OUT017,2470.767523
FDF47,OUT027,4987.694952
FDX32,OUT046,2331.185953
FDX57,OUT049,1701.227713
NCA30,OUT045,2912.056268
FDO49,OUT013,907.2099804
FDL04,OUT019,-222.6917777
DRM48,OUT035,756.9501273
FDR16,OUT013,3431.836512
NCC19,OUT018,2749.786236
NCE42,OUT045,3632.887255
FDY24,OUT017,1050.630187
FDH19,OUT049,2889.691369
FDJ46,OUT013,2793.670794
FDN45,OUT010,1613.836135
FDY08,OUT035,2363.817642
FDZ37,OUT035,1605.087635
NCT30,OUT045,699.6177356
DRY23,OUT018,453.58749
NCZ30,OUT018,1659.692466
FDC44,OUT018,1523.821709
FDB45,OUT035,1835.959679
FDY04,OUT013,2673.386933
FDM27,OUT046,2562.993206
FDZ43,OUT017,3960.682976
FDT39,OUT019,522.1857263
NCC06,OUT019,114.4920801
FDL15,OUT027,3903.286603
FDL57,OUT017,4209.545062
FDU08,OUT046,1604.398075
FDK40,OUT017,4283.737435
FDQ12,OUT010,1714.911466
FDS48,OUT017,2521.187773
FDP09,OUT045,3293.360148
FDW21,OUT049,1755.686816
FDY25,OUT035,3028.19332
DRE13,OUT017,1488.481527
FDV43,OUT019,-1182.144019
FDD22,OUT045,1725.216706
FDM46,OUT019,-432.9480604
NCO30,OUT010,1002.349169
FDM25,OUT046,2806.911558
NCN41,OUT049,2040.626593
FDU24,OUT045,1473.749751
FDZ50,OUT046,2957.454454
FDP45,OUT013,4049.761645
NCM54,OUT045,1926.164017
FDW10,OUT019,883.2045973
FDP20,OUT017,2153.609535
FDK32,OUT046,2452.790094
FDN52,OUT049,1552.489362
FDM58,OUT045,1763.693576
FDZ46,OUT027,3233.913151
NCA18,OUT018,1581.472641
FDD35,OUT046,1964.267257
NCK31,OUT035,954.8096316
FDI40,OUT027,3104.355329
FDT50,OUT019,-335.6415853
NCT06,OUT046,2597.747499
FDT31,OUT035,3133.523402
FDT45,OUT049,983.1965008
FDT13,OUT045,2910.82664
FDO50,OUT045,1402.634944
NCU18,OUT010,305.4809743
NCR54,OUT049,3157.198422
NCO18,OUT018,2536.70294
FDU09,OUT045,911.891066
FDT13,OUT018,2708.545554
FDE09,OUT046,1817.409811
NCK53,OUT019,-288.557733
FDG45,OUT049,3482.717843
DRH15,OUT035,881.9822491
FDO21,OUT019,1703.415436
FDD14,OUT027,4356.759251
FDC09,OUT046,1705.779513
FDH45,OUT027,2217.566161
FDV32,OUT046,1070.249372
FDG12,OUT035,2114.019344
FDS32,OUT013,2276.654723
NCL55,OUT018,3663.287783
DRE01,OUT035,3957.999489
DRE15,OUT049,1347.727207
NCL42,OUT045,3807.512619
FDP31,OUT013,1104.705238
FDN33,OUT018,1272.450729
FDZ59,OUT046,2661.963873
FDE45,OUT010,923.3254909
FDJ07,OUT013,1946.451049
FDQ45,OUT018,2707.123465
FDM33,OUT027,4915.908134
FDO15,OUT010,-664.2421574
FDM46,OUT013,1514.776302
FDR03,OUT045,3242.802432
FDY49,OUT018,2421.729248
FDQ60,OUT045,1876.824536
FDW10,OUT049,2893.695366
FDO51,OUT049,901.0836911
FDJ40,OUT018,1479.077158
FDS20,OUT018,2622.743669
FDU45,OUT013,1886.20299
FDV02,OUT035,2838.37296
FDN09,OUT046,3834.218809
NCM55,OUT027,4386.945036
FDN23,OUT018,2035.803134
FDY31,OUT010,410.0230593
FDW03,OUT010,-142.6021602
FDD14,OUT046,2888.209562
FDV23,OUT017,2111.984428
DRI03,OUT045,2720.919897
FDN13,OUT035,1729.845507
FDF45,OUT027,2492.74247
FDU46,OUT035,1618.48079
FDB57,OUT049,3663.17702
FDV12,OUT049,1705.902738
FDQ58,OUT013,2455.234855
NCA18,OUT017,1942.225183
FDH52,OUT049,1159.492865
FDM24,OUT018,2120.743419
NCP43,OUT027,4307.38307
NCO18,OUT019,888.2999589
FDM32,OUT017,1586.982011
NCL07,OUT017,731.5189807
FDK03,OUT013,4070.479051
FDP59,OUT017,1792.915742
FDQ24,OUT049,4057.998578
FDQ16,OUT018,1488.814188
FDU44,OUT013,2633.57797
FDH28,OUT010,-1232.743051
FDV28,OUT019,-1278.906567
FDM22,OUT045,875.2507425
FDR56,OUT046,3102.341175
FDV39,OUT049,3231.914002
FDU37,OUT019,-562.3036319
FDQ11,OUT010,2146.867736
FDX02,OUT045,3469.101752
NCS42,OUT018,1197.347436
FDY57,OUT027,3014.038456
FDB21,OUT049,3906.977795
FDE28,OUT017,3769.50062
FDQ55,OUT017,1977.142164
FDA48,OUT049,3611.079997
FDZ19,OUT045,2702.6209
NCC43,OUT045,3887.749021
NCV18,OUT046,1301.691604
NCA42,OUT018,2240.739181
FDY45,OUT046,4052.590974
NCC30,OUT045,2751.414974
FDM57,OUT013,1459.5989
FDL09,OUT010,752.3785102
FDB09,OUT027,3453.71904
FDT44,OUT035,2043.506641
NCT06,OUT027,4043.1495
FDX26,OUT049,3002.058144
FDK32,OUT013,2474.162195
DRA12,OUT046,2272.794357
FDO46,OUT010,1124.096249
FDE52,OUT013,1488.992907
NCH42,OUT045,3553.726494
FDV08,OUT035,868.8250792
FDB47,OUT018,3061.596748
FDC28,OUT010,-133.3763618
FDD22,OUT046,1825.139947
FDS07,OUT027,3297.498783
DRI13,OUT045,3357.607662
FDG32,OUT018,3226.03708
FDU14,OUT017,4059.986967
FDD28,OUT019,-923.8412953
NCP41,OUT017,1846.9252
FDS08,OUT049,2886.14737
FDX47,OUT045,2493.7079
FDC53,OUT019,-259.9156007
FDQ19,OUT035,4010.538644
FDL14,OUT045,2452.337351
FDM33,OUT019,1591.165763
FDA51,OUT045,1778.356973
FDZ27,OUT018,552.3014051
FDT04,OUT046,692.0387471
DRC13,OUT049,2132.513611
FDR16,OUT027,4843.859483
FDQ03,OUT027,5224.516042
FDE38,OUT035,2822.889105
DRH23,OUT027,2361.813062
FDT11,OUT019,1132.189978
FDD09,OUT035,3007.995555
FDR40,OUT045,1321.981102
FDX07,OUT017,3023.323511
FDR07,OUT035,1705.994348
FDA51,OUT017,1965.431026
FDT59,OUT019,1756.607993
FDF20,OUT017,3204.472705
FDR13,OUT045,1828.973644
FDY26,OUT049,3471.608637
FDW04,OUT017,2228.415147
FDK52,OUT017,3688.04278
FDN60,OUT049,2595.036636
FDM09,OUT019,850.1372029
FDP46,OUT049,1521.239812
FDB50,OUT019,-640.976889
NCQ29,OUT049,4148.247122
FDP16,OUT027,5332.987523
FDX33,OUT018,2323.706256
FDP07,OUT010,1185.953761
FDN22,OUT046,3950.072125
FDF39,OUT049,4278.032195
FDS21,OUT017,1154.257766
NCM42,OUT013,1741.386071
FDK50,OUT019,713.49785
DRF13,OUT027,3786.932136
FDH35,OUT018,2331.665893
FDP60,OUT018,1330.425267
DRJ49,OUT027,3529.698663
NCT42,OUT019,450.6271308
FDE38,OUT049,2773.743622
FDI04,OUT049,3287.13393
NCH54,OUT045,2417.843039
FDT56,OUT049,1103.831029
DRD15,OUT018,3384.442154
FDV58,OUT013,3092.141359
FDP21,OUT049,3120.327351
FDH05,OUT013,3748.181066
FDR10,OUT027,4034.711692
NCP06,OUT045,2288.696488
FDF33,OUT049,1825.016504
DRK37,OUT013,3015.020607
DRH49,OUT045,1291.087182
FDT58,OUT013,2695.341568
FDD41,OUT018,1447.082667
FDP40,OUT018,1552.550996
FDM51,OUT027,3141.505797
FDO45,OUT010,-464.8068263
FDW33,OUT010,-210.9895546
FDY24,OUT045,868.0048839
FDB10,OUT010,1837.549262
FDM40,OUT035,2392.48164
NCI06,OUT017,2953.049896
FDW12,OUT019,442.2850751
FDX48,OUT027,3966.731022
NCW05,OUT027,3132.033513
FDX27,OUT017,1670.798572
DRM37,OUT045,3052.087295
FDA38,OUT045,3761.736537
FDR36,OUT046,676.0938198
FDZ45,OUT046,3151.638073
FDG05,OUT017,2625.845185
FDK28,OUT013,4118.20511
FDV47,OUT045,1325.605752
FDN21,OUT045,2484.053571
FDP20,OUT027,3493.313553
FDI35,OUT045,2824.180495
DRY23,OUT013,783.1485312
FDA56,OUT017,2086.171568
FDB09,OUT013,2007.93501
NCO26,OUT027,3305.536164
FDQ49,OUT018,2261.27162
FDI52,OUT027,3407.152058
FDZ44,OUT027,3343.447946
FDZ09,OUT018,2329.970072
FDY03,OUT049,1953.772193
NCG42,OUT017,2158.045881
DRI13,OUT027,4894.943716
FDQ32,OUT013,2087.842984
FDW16,OUT035,1663.236497
FDU27,OUT046,768.0849537
FDR28,OUT010,727.8177952
FDQ49,OUT010,647.2387859
FDS37,OUT046,1876.413612
FDW26,OUT018,3206.188151
FDX12,OUT018,3580.443589
NCP06,OUT013,2408.122398
FDW45,OUT010,406.0502445
NCN30,OUT049,1607.214001
FDN24,OUT049,973.1767085
NCL41,OUT027,1997.480185
FDR02,OUT019,-124.385854
FDD09,OUT010,969.1337808
FDS33,OUT010,-458.0786569
FDU22,OUT045,1848.032657
FDI53,OUT013,2648.949445
DRH01,OUT049,2866.03085
FDX32,OUT013,2348.711162
NCP30,OUT018,375.7585079
FDB60,OUT045,3048.88246
FDB14,OUT049,1640.38401
NCP02,OUT035,1086.456028
FDJ10,OUT017,2380.649196
FDG34,OUT046,1830.812718
NCB18,OUT017,1502.499622
FDM16,OUT049,1362.790704
FDW25,OUT018,1101.965521
FDB35,OUT010,-396.9597772
DRN11,OUT013,2286.494396
FDF41,OUT019,1996.529049
FDH16,OUT045,1367.53793
NCQ50,OUT018,3063.678867
DRH23,OUT018,634.0922711
DRJ37,OUT013,2439.515412
DRJ24,OUT027,4359.325707
FDY16,OUT035,3090.779802
FDQ27,OUT045,1637.683979
FDZ33,OUT045,2296.874951
FDF29,OUT045,2043.209116
FDA08,OUT049,2740.596305
FDG31,OUT046,1081.601598
FDE34,OUT019,1016.524897
NCR30,OUT027,2628.745416
FDV33,OUT035,4270.800468
DRZ24,OUT018,1635.80652
NCL54,OUT035,2871.736995
FDR12,OUT049,2895.085883
NCC54,OUT046,3786.387042
DRN59,OUT013,790.678233
FDX50,OUT019,-129.543577
FDV31,OUT027,4279.066428
NCA29,OUT027,4178.036904
FDW60,OUT049,2963.742319
FDX08,OUT017,3009.866206
DRD49,OUT013,3734.383771
FDD33,OUT046,3649.12186
FDW35,OUT013,760.2316104
FDJ36,OUT017,1751.947364
FDV51,OUT035,2797.044974
FDW36,OUT046,1718.751005
FDH35,OUT046,2628.510465
NCS30,OUT027,3514.180619
FDN49,OUT017,785.526044
FDL08,OUT018,3614.690168
FDI09,OUT013,3850.27239
FDP19,OUT018,1776.703725
FDU21,OUT010,-1347.27471
NCP41,OUT045,1646.438156
FDY10,OUT013,1843.396042
FDP12,OUT018,354.2587788
NCN26,OUT049,1943.205233
FDK44,OUT013,2791.834273
FDC28,OUT049,1859.922606
FDJ41,OUT027,5614.341348
NCT29,OUT035,2098.151525
NCH42,OUT019,1692.078705
FDU60,OUT018,2421.424958
FDS02,OUT045,3024.200497
FDC51,OUT046,2028.173128
FDU03,OUT013,2965.055516
FDX39,OUT045,3329.818236
NCY05,OUT010,-1313.688743
NCL06,OUT027,5524.972494
FDD32,OUT035,1451.331781
NCN41,OUT045,1873.51182
NCX53,OUT049,2336.177695
FDU57,OUT019,522.0759584
FDQ23,OUT046,1690.734741
FDQ52,OUT045,3853.638476
FDC14,OUT045,620.8342227
FDY09,OUT035,2961.739435
FDQ28,OUT045,2467.712424
FDV25,OUT046,3506.543278
FDJ07,OUT035,2026.173481
DRB25,OUT049,1791.411852
FDK52,OUT019,1659.846185
FDY52,OUT027,2504.467716
FDB28,OUT046,3135.767413
FDT36,OUT035,756.9557261
FDV25,OUT017,3627.856947
NCN07,OUT027,3517.416003
FDC57,OUT017,3209.62253
FDQ03,OUT018,3462.816776
FDU23,OUT017,2772.923061
NCX41,OUT035,3489.356771
NCD06,OUT035,895.6996297
FDW08,OUT045,1636.173562
NCU29,OUT017,2402.808964
NCE06,OUT013,2566.032714
FDV52,OUT010,-46.66362491
FDB02,OUT017,2961.811573
NCR18,OUT045,638.7821426
FDK16,OUT049,1619.825818
NCQ29,OUT010,2125.090366
FDZ01,OUT019,-171.5283613
FDW27,OUT035,2675.92037
FDD17,OUT018,3493.625134
FDW39,OUT013,2889.626239
DRH59,OUT045,1107.760844
FDS52,OUT013,1687.2599
FDU40,OUT027,4553.480111
NCF54,OUT013,2764.428501
FDH46,OUT045,1641.29908
NCP14,OUT049,1734.924474
FDH50,OUT049,3092.03036
DRF15,OUT010,520.1369588
FDV27,OUT027,2876.746072
NCJ06,OUT049,2000.357318
FDN02,OUT018,2976.460136
FDQ51,OUT049,921.6821916
FDQ07,OUT017,3664.390965
FDS45,OUT049,1846.443498
NCJ06,OUT045,1850.356191
FDD36,OUT035,2036.113468
FDY25,OUT045,2839.078145
FDU52,OUT046,2473.999515
DRK47,OUT017,3683.017786
NCL30,OUT017,2133.172783
FDN22,OUT035,4146.17725
NCF30,OUT027,3434.100428
FDK03,OUT035,4230.393176
FDT45,OUT017,1020.344079
NCC54,OUT027,5203.530102
FDP08,OUT018,2849.971037
FDU44,OUT046,2642.911224
DRG39,OUT035,1012.828802
FDU32,OUT049,2064.505743
FDY27,OUT049,2947.217095
NCP54,OUT013,1981.712578
NCZ41,OUT049,2092.512093
DRL49,OUT013,2308.057675
FDI05,OUT018,1004.370462
FDY56,OUT045,3555.523789
DRC13,OUT013,2069.266387
NCV29,OUT017,2937.503997
FDR24,OUT049,1540.197801
FDZ34,OUT018,2762.033148
FDP37,OUT035,2155.236965
FDX08,OUT027,4333.677407
FDS57,OUT045,2183.160309
NCG18,OUT049,1729.420918
FDK25,OUT018,2394.840032
FDH53,OUT049,1463.002034
DRI59,OUT018,3242.707495
FDA52,OUT046,2844.255372
FDT20,OUT010,-1253.721113
FDE36,OUT019,736.3765142
FDI24,OUT017,2880.529084
FDB28,OUT018,2880.898443
FDV11,OUT017,2955.930177
FDP01,OUT046,2495.555212
FDD34,OUT027,4036.146406
FDJ50,OUT027,2330.387653
FDZ44,OUT013,1943.703727
DRO59,OUT035,1369.687418
DRB48,OUT045,632.0070761
FDR21,OUT018,2506.594769
NCE42,OUT010,1778.354778
FDO23,OUT046,1494.674831
NCE30,OUT018,3050.41298
FDQ22,OUT035,795.2264687
FDY01,OUT045,1808.217249
FDS08,OUT017,2936.434227
FDG28,OUT018,3668.098771
FDQ51,OUT018,581.8470814
FDB05,OUT017,4046.041743
FDO56,OUT049,2018.08308
FDE02,OUT018,1207.148735
FDN45,OUT017,3621.481739
FDS09,OUT013,894.0822119
NCA54,OUT018,2580.885331
FDP09,OUT010,1457.523867
FDC53,OUT045,1546.799605
NCM55,OUT017,3035.850143
FDL09,OUT018,2397.946477
FDA11,OUT019,-384.40429
FDA50,OUT045,1456.246586
FDC23,OUT017,2953.910423
FDE22,OUT049,2638.773148
FDD23,OUT046,3014.049038
NCA29,OUT049,2824.641108
FDK38,OUT046,2353.863519
DRC13,OUT046,1986.821312
NCP43,OUT049,2920.185989
FDX28,OUT049,1700.433803
FDF08,OUT049,1596.41019
FDZ33,OUT046,2379.68928
FDD10,OUT049,2977.121736
FDO58,OUT017,2691.751079
FDI50,OUT017,3794.462491
FDO58,OUT045,2572.173871
FDX08,OUT013,2915.66127
NCK17,OUT010,-1241.864251
FDF39,OUT035,4330.885731
FDU45,OUT010,-66.15977719
NCJ18,OUT018,1566.020445
DRC27,OUT019,1974.544405
DRC25,OUT035,1520.995373
FDU59,OUT035,2701.525125
FDU28,OUT035,3187.511768
NCP30,OUT046,671.0253842
FDB39,OUT018,646.926213
FDE41,OUT013,1439.092494
DRH11,OUT010,-998.2480074
FDA58,OUT045,3659.021175
FDU50,OUT046,1897.619502
FDM34,OUT013,2104.116775
FDM44,OUT027,3104.807165
FDR39,OUT045,2843.515692
FDM25,OUT045,2727.515238
FDQ49,OUT049,2633.785879
DRH25,OUT018,587.4136901
FDM09,OUT027,4207.975562
FDL44,OUT019,683.2689286
NCR42,OUT018,266.2965703
DRL59,OUT046,870.7080688
FDX43,OUT013,2711.802592
DRK47,OUT010,1653.791585
FDU48,OUT018,1830.990943
FDY12,OUT045,801.2412401
NCN43,OUT018,1673.712475
NCM55,OUT018,2616.848452
FDQ21,OUT027,3436.817742
FDX13,OUT035,4115.543764
NCK30,OUT027,5424.636631
FDG20,OUT049,2914.109072
DRG27,OUT017,763.7043495
FDY14,OUT018,3895.771003
FDP59,OUT035,1841.558431
FDU60,OUT017,2834.684771
NCC18,OUT019,769.8957877
DRJ39,OUT017,3541.819459
FDS07,OUT049,1915.789928
FDM08,OUT027,4975.083253
FDP51,OUT045,1902.036804
